speaker,dialogue,author,title,comedia
Conde,"Belisa, yo no he querido a Lucinda, porque fue su enredo contra mi fe, sus celos contra mi olvido; y porque veáis que he sido tan galán como señor, desde aquí dejo el amor, sin admitirle jamás, que no es bien que pueda más mi gusto que mi valor. Y, aunque sea a mi despecho, si vos pretendéis casaros como decís, estorbaros siendo quien soy, no es bien hecho. Hoy haré salir del pecho mi esperanza, sin que espere más que el bien que vuestro fuere; porque no quiere, ni es justo, el que quiere más su gusto que el honor de lo que quiere. Hoy viene al suelo la torre de mi necio y loco amor, que contra vuestro rigor el ser quien soy me socorre. Que también amor se corre de ser mal agradecido, viendo, señora, que he sido sobre necio y porfiado, para galán, desdichado, y grande para marido. Palabra os doy de ayudaros con el que lo fuere vuestro, con que presumo que os muestro tanto amor como en dejaros: con esto pienso obligaros sin volveros a cansar, que un hombre que con amar nunca pudo merecer, cuanto cansa con querer, obliga con olvidar.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Belisa,"Alumbra a su señoría, Finea.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Celia,¡Valor notable!,Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Conde,¿Quién está aquí? Alumbra.,Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Belisa,¿Cómo? ¿Gente en mi casa?,Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Juan,"No saque la espada, vueseñoría.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Conde,"¿Cómo no, viendo esperarme detrás de un cancel dos hombres? Belisa, ¿traiciones tales con un hombre como yo?",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Belisa,"¿Hay desdicha semejante? Celia, ¿qué es esto?",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Celia,Que al conde puse yo donde le hallaste es verdad; no los demás.,Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Juan,"Señor conde, no os espante esta locura de amor.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Conde,"Amor no puede espantarme, que juzga mal de la culpa quien en ella tiene parte. Admírome de Belisa, que con tantos ademanes y melindres, en su casa tenga hombres a horas tales escondidos en canceles, y así, para no empeñarme en más de lo que es razón, porque no es justo que os mate por delito de marido... y guardaos de que os halle por casar, que vive Dios que todo el mundo no baste a defenderos la vida.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Juan,"Pues, señor, ¿sin escucharme?",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Conde,"Es presto para paciencias y para disculpas, tarde.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Juan,"¿Es esta, ingrata Belisa, la causa para matarme? Justamente enmudecías cuando yo llegaba a hablarte. Justamente me cerrabas las puertas; pero sin llaves supo entrar amor a ver los agravios que me haces. Paredes abren los celos cuando ven que no los abren; que, como los llaman linces, no hay cosa que no traspasen. Jurisdición son de amor todos los verdes lugares: al jardín debo el que tuve. ¡Tanto un desengaño vale! ¿A las cuatro de la noche -si es bien que noche se llame cuando ya llama el aurora a las puertas orientales- un señor en quien concurren tan notables calidades en tu aposento? ¿A estas horas de tu casa el conde sale? Si en tu calle no hay vecino que ahora esté por levantarse y echas en la calle un hombre, ¿cómo quieres tú que calle? En la calle no hay secreto; que en llegando a despejarse tanto el honor, no presumas que guarden secreto a nadie. Si amabas a don Enrique, di: ¿para qué me engañaste? Que nunca fue valentía ser las mujeres mudables. Dejárasme con Lucinda. Mal por mal, nunca tan tarde hombres en su casa hallé de quien pudiese quejarme. Desde tu casa me voy a Aragón, para olvidarte. ¡Dios me libre de Castilla! Para conocerla baste que el ejemplo de tu amor me castigue y desengañe. Si volviere a verla, ¡cielos!, traidora espada me mate o el más amigo me venda, y el más obligado pague, con malas, mis buenas obras, y a mi enemigo se pase. Perdone el hábito el rey, que ya, con tantos pesares, me ha dado Santiago celos, y es mejor morir en Flandes.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Belisa,"¿Acaba vuesa merced su plática lamentable? ¿Tiene esa larga oración epílogo que la ensarte? ¿Ha de haber «no has visto» y esto con que acaban los romances para la vulgar chacota, que llaman versos finales? «Cuanto apacible, severo, cuanto tierno, inexorable, cuanto rendido, tirano, y cuanto humilde, arrogante». Prosiga vuesa merced.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Juan,"¿Burlas en veras tan grandes? ¿Cuando agravios, niñerías? ¿Y cuando rabias, donaires?",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
